,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.6723566699028015,0.6735488474369049,0.6747948145866394,0.674,0.001,0.671,0.676,0.0,0.0,1010.0,937.0,
flux_g,95.29916870117188,95.60669708251953,95.86621978759766,95.596,0.277,95.055,96.095,0.009,0.006,1056.0,928.0,
flux_r,146.06282836914062,146.56044006347656,147.03831298828126,146.557,0.481,145.643,147.426,0.017,0.011,843.0,874.0,
flux_z,189.71536254882812,190.60232543945312,191.51345458984375,190.624,0.905,188.968,192.353,0.029,0.02,1006.0,943.0,
n,1.1496162033081054,1.1573768854141235,1.1649591636657715,1.157,0.007,1.144,1.17,0.0,0.0,1022.0,952.0,
r_eff,24.976819915771486,25.054450035095215,25.129814529418944,25.053,0.076,24.911,25.182,0.002,0.002,1013.0,809.0,
sky_back_g,-5.720347166061401e-05,0.00012950226664543152,0.0003121763467788696,0.0,0.0,-0.0,0.0,0.0,0.0,850.0,943.0,
sky_back_r,-4.336535930633544e-05,0.00024634599685668945,0.0005726450681686401,0.0,0.0,-0.0,0.001,0.0,0.0,910.0,881.0,
sky_back_z,0.0004684334993362427,0.0007527805864810944,0.0010571509599685669,0.001,0.0,0.0,0.001,0.0,0.0,1025.0,916.0,
theta,1.7061618232727052,1.707566261291504,1.7089196586608886,1.708,0.001,1.705,1.71,0.0,0.0,997.0,914.0,
xc,126.3349673461914,126.3747673034668,126.42295867919921,126.377,0.043,126.297,126.456,0.001,0.001,938.0,960.0,
yc,125.54282958984375,125.55683898925781,125.57230438232422,125.557,0.014,125.53,125.582,0.0,0.0,947.0,906.0,
