,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.18517735242843628,0.18931804597377777,0.19407128155231476,0.19,0.004,0.182,0.198,0.0,0.0,1018.0,855.0,
flux_g,273.9928076171875,274.62342834472656,275.2260107421875,274.602,0.603,273.437,275.668,0.019,0.012,1002.0,944.0,
flux_r,476.70527709960936,479.5625915527344,483.2031298828125,479.844,3.033,474.584,485.296,0.096,0.06,1014.0,823.0,
flux_z,674.941455078125,679.4884338378906,683.74583984375,679.411,4.251,672.289,687.738,0.136,0.09,977.0,774.0,
n,0.8804570937156677,0.8837414681911469,0.8868500971794129,0.884,0.003,0.878,0.889,0.0,0.0,1022.0,952.0,
r_eff,54.26836364746094,54.51982307434082,54.75997604370117,54.518,0.255,53.982,54.951,0.008,0.006,946.0,943.0,
sky_back_g,-0.0006404125690460205,-8.746609091758728e-05,0.00048394262790679926,-0.0,0.001,-0.001,0.001,0.0,0.0,887.0,896.0,
sky_back_r,-0.0007594659924507141,0.00014973431825637817,0.0011767405271530152,0.0,0.001,-0.001,0.002,0.0,0.0,966.0,876.0,
sky_back_z,-0.0003904622793197632,0.0004944577813148499,0.0014359909296035767,0.001,0.001,-0.001,0.002,0.0,0.0,1059.0,1036.0,
theta,1.3823055839538574,1.3915319442749023,1.399537868499756,1.391,0.008,1.376,1.406,0.0,0.0,982.0,802.0,
xc,126.13959381103516,126.22520446777344,126.32038146972656,126.228,0.086,126.08,126.388,0.003,0.002,936.0,1021.0,
yc,127.41026184082031,127.47565460205078,127.54953857421874,127.48,0.068,127.356,127.596,0.002,0.001,983.0,869.0,
