,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip_1,1.922883217048366e-05,5.4542493671760894e-05,0.00014602172945160416,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,972.0,
ellip_2,0.4248918890953064,0.42659756541252136,0.4281690859794617,0.427,0.002,0.424,0.43,0.0,0.0,1019.0,945.0,
f_1,0.27952456116676333,0.28545981645584106,0.2918274164199829,0.286,0.006,0.274,0.296,0.0,0.0,1023.0,1038.0,
flux_g,3107.95271484375,3110.8787841796875,3113.023896484375,3110.632,2.552,3105.464,3114.797,0.079,0.056,1044.0,983.0,
flux_r,4663.0745703125,4672.92724609375,4683.7550390625,4673.267,10.362,4655.19,4693.437,0.335,0.222,957.0,981.0,
flux_z,4643.55318359375,4666.018310546875,4684.4479296875,4664.083,21.097,4625.044,4703.466,0.632,0.476,1108.0,1023.0,
n_1,3.7613297176361082,3.8084458112716675,3.8455491828918458,3.803,0.042,3.716,3.869,0.001,0.001,992.0,981.0,
n_2,0.638030138015747,0.6515354216098785,0.6663035202026367,0.652,0.014,0.625,0.674,0.0,0.0,1004.0,976.0,
r_eff_1,32.23154022216797,37.1240291595459,42.6718862915039,37.429,5.262,27.45,46.699,0.169,0.125,988.0,943.0,
r_eff_2,94.7092578125,96.13289260864258,97.66281188964844,96.157,1.433,93.713,98.951,0.044,0.033,1065.0,973.0,
sky_back_g,-0.004002591073513031,-0.0018008723855018616,0.000340710878372192,-0.002,0.002,-0.006,0.002,0.0,0.0,846.0,895.0,
sky_back_r,-0.002492750585079193,-0.0010929033160209656,0.00035827815532684314,-0.001,0.001,-0.004,0.002,0.0,0.0,947.0,938.0,
sky_back_z,-0.005573574751615525,-0.0035997405648231506,-0.00155108779668808,-0.004,0.002,-0.007,0.0,0.0,0.0,902.0,889.0,
theta,1.2269870567321777,1.2304649353027344,1.2334538841247558,1.23,0.003,1.225,1.236,0.0,0.0,995.0,946.0,
xc,254.5115594482422,254.53752899169922,254.56062561035156,254.537,0.024,254.493,254.579,0.001,0.0,949.0,944.0,
yc,249.17654418945312,249.20947265625,249.244580078125,249.21,0.034,249.144,249.27,0.001,0.001,932.0,972.0,
