,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.3839639747142792,0.3853757977485657,0.3869224941730499,0.385,0.001,0.383,0.388,0.0,0.0,1018.0,819.0,
flux_g,2703.7630859375,2710.26123046875,2718.44009765625,2711.029,7.459,2698.403,2726.136,0.232,0.174,1036.0,979.0,
flux_r,3981.14333984375,3991.015625,4002.120517578125,3991.555,10.35,3972.861,4009.916,0.344,0.224,892.0,981.0,
flux_z,3682.2094921875,3693.9859619140625,3707.05685546875,3694.211,12.392,3669.826,3715.282,0.4,0.27,967.0,865.0,
n,0.7354466247558594,0.7379103600978851,0.7403554701805115,0.738,0.002,0.734,0.742,0.0,0.0,1022.0,952.0,
r_eff,86.53265380859375,86.8066635131836,87.07763153076172,86.803,0.269,86.309,87.323,0.009,0.006,992.0,918.0,
sky_back_g,-0.00011096954345703124,9.542703628540039e-05,0.00029034227132797237,0.0,0.0,-0.0,0.0,0.0,0.0,935.0,1013.0,
sky_back_r,-0.00018026560544967651,8.742883801460266e-05,0.000407654047012329,0.0,0.0,-0.0,0.001,0.0,0.0,928.0,909.0,
sky_back_z,-0.001321817636489868,-0.0010477565228939056,-0.0007803669571876526,-0.001,0.0,-0.002,-0.001,0.0,0.0,961.0,1023.0,
theta,1.2398702430725097,1.2406134605407715,1.241289119720459,1.241,0.001,1.239,1.242,0.0,0.0,1028.0,925.0,
xc,258.21197509765625,258.25762939453125,258.30768310546875,258.259,0.044,258.174,258.334,0.001,0.001,964.0,942.0,
yc,246.1454522705078,246.18788146972656,246.2316473388672,246.189,0.044,246.11,246.275,0.001,0.001,940.0,850.0,
