,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.41889582872390746,0.4197865128517151,0.4205928862094879,0.42,0.001,0.418,0.421,0.0,0.0,1010.0,937.0,
flux_g,1337.361328125,1339.8897705078125,1342.217060546875,1339.871,2.388,1335.366,1344.147,0.073,0.047,1069.0,1068.0,
flux_r,2200.543779296875,2207.26416015625,2213.91083984375,2207.223,6.54,2194.209,2218.514,0.208,0.136,992.0,1072.0,
flux_z,3056.434658203125,3066.021240234375,3075.37876953125,3065.765,9.254,3047.689,3081.787,0.29,0.203,1022.0,887.0,
n,1.6552852249145509,1.6595341563224792,1.6639751386642456,1.66,0.004,1.652,1.668,0.0,0.0,1022.0,952.0,
r_eff,102.45708618164062,102.7067985534668,102.96404479980468,102.707,0.252,102.215,103.138,0.008,0.005,1012.0,850.0,
sky_back_g,-0.000995107889175415,-0.0008989758789539337,-0.0008006754517555237,-0.001,0.0,-0.001,-0.001,0.0,0.0,831.0,808.0,
sky_back_r,-0.002747069299221039,-0.002560798078775406,-0.002357960045337677,-0.003,0.0,-0.003,-0.002,0.0,0.0,896.0,915.0,
sky_back_z,-0.004324485063552857,-0.004131302237510681,-0.003941720426082611,-0.004,0.0,-0.004,-0.004,0.0,0.0,960.0,909.0,
theta,2.888359956741333,2.8891661167144775,2.8899069690704344,2.889,0.001,2.888,2.891,0.0,0.0,975.0,771.0,
xc,173.9274853515625,173.94049072265625,173.95431213378907,173.941,0.013,173.916,173.965,0.0,0.0,827.0,936.0,
yc,173.305712890625,173.33018493652344,173.35664855957032,173.33,0.025,173.284,173.373,0.001,0.001,932.0,849.0,
