,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.012542397677898408,0.026784184388816357,0.068300164937973,0.04,0.035,0.006,0.109,0.001,0.001,998.0,983.0,
flux_g,76.55822967529296,77.55091857910156,78.49611846923828,77.549,0.957,75.921,79.412,0.033,0.019,856.0,876.0,
flux_r,130.73153442382812,133.47208404541016,138.26018188476561,134.133,3.368,129.025,140.23,0.105,0.064,1038.0,702.0,
flux_z,211.58534484863281,215.0138168334961,217.84313781738283,214.836,2.928,209.157,220.037,0.095,0.057,941.0,840.0,
n,0.6962159347534179,0.7096886038780212,0.7209341716766358,0.709,0.011,0.689,0.728,0.0,0.0,1022.0,952.0,
r_eff,40.62897567749023,45.11423301696777,49.88631149291992,45.258,4.613,36.416,53.438,0.144,0.092,1026.0,846.0,
sky_back_g,-0.003725297152996063,0.0007047355175018311,0.005143799185752868,0.001,0.004,-0.008,0.009,0.0,0.0,907.0,1021.0,
sky_back_r,-0.003925697803497314,0.0010721907019615173,0.006790066957473755,0.001,0.006,-0.007,0.013,0.0,0.0,921.0,984.0,
sky_back_z,-0.002035590410232544,0.0011117234826087952,0.004300803542137146,0.001,0.003,-0.004,0.007,0.0,0.0,1100.0,1058.0,
theta,2.6219497108459473,2.725564479827881,2.790052547454834,2.708,0.088,2.525,2.837,0.003,0.002,1015.0,995.0,
xc,148.2272283935547,148.7671356201172,149.2649658203125,148.753,0.503,147.767,149.621,0.016,0.011,965.0,945.0,
yc,103.66981658935546,104.99449157714844,106.58871246337891,105.105,1.387,102.687,107.645,0.046,0.028,903.0,952.0,
