,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.3267926347255707,0.32854343950748444,0.3302793276309967,0.329,0.002,0.326,0.332,0.0,0.0,1016.0,867.0,
flux_g,1087.527685546875,1089.8594970703125,1092.1029296875,1089.879,2.296,1085.263,1093.775,0.07,0.049,1075.0,1024.0,
flux_r,1753.743359375,1758.629638671875,1763.1825634765626,1758.547,4.734,1749.381,1766.755,0.149,0.106,1015.0,884.0,
flux_z,2330.5427734375,2337.4521484375,2344.3645703125,2337.376,6.972,2324.207,2350.316,0.219,0.149,1015.0,1062.0,
n,1.4732147455215454,1.4776941537857056,1.4822058486938476,1.478,0.004,1.47,1.486,0.0,0.0,1022.0,952.0,
r_eff,55.01008651733398,55.176753997802734,55.35279922485351,55.18,0.179,54.823,55.497,0.006,0.004,992.0,912.0,
sky_back_g,-0.0012602066993713378,-0.0009404532611370087,-0.0006261405348777771,-0.001,0.0,-0.002,-0.0,0.0,0.0,855.0,980.0,
sky_back_r,-0.00133241206407547,-0.0007244497537612915,-3.73423099517823e-05,-0.001,0.001,-0.002,0.001,0.0,0.0,933.0,958.0,
sky_back_z,-0.000666244924068451,-0.000212106853723526,0.00024249851703643768,-0.0,0.0,-0.001,0.001,0.0,0.0,939.0,815.0,
theta,2.098187084197998,2.099727153778076,2.101087169647217,2.1,0.001,2.097,2.102,0.0,0.0,985.0,818.0,
xc,153.2280810546875,153.2531280517578,153.2812237548828,153.254,0.025,153.208,153.301,0.001,0.0,906.0,888.0,
yc,150.65453369140624,150.67229461669922,150.69015502929688,150.672,0.018,150.639,150.704,0.001,0.0,916.0,1016.0,
