,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip_1,0.0002550553169567138,0.0005603673635050654,0.0012421771790832282,0.001,0.001,0.0,0.002,0.0,0.0,1011.0,952.0,
ellip_2,0.45176488637924195,0.452850878238678,0.4538674890995026,0.453,0.001,0.451,0.455,0.0,0.0,954.0,996.0,
f_1,0.21468935012817383,0.22174368798732758,0.2297574508190155,0.222,0.008,0.208,0.237,0.0,0.0,1003.0,925.0,
flux_g,7268.35416015625,7272.424072265625,7275.71443359375,7272.165,3.695,7265.112,7278.648,0.115,0.079,1030.0,906.0,
flux_r,11353.25890625,11383.58251953125,11419.1750390625,11385.481,32.701,11325.146,11442.897,1.008,0.69,1037.0,818.0,
flux_z,15555.1875390625,15633.00927734375,15717.5011328125,15634.014,80.164,15491.458,15782.02,2.536,1.695,996.0,983.0,
n_1,0.6486399674415588,0.6523593366146088,0.6560607051849365,0.652,0.004,0.646,0.659,0.0,0.0,992.0,981.0,
n_2,1.2474349880218505,1.251328706741333,1.2553501987457276,1.251,0.004,1.245,1.259,0.0,0.0,971.0,1022.0,
r_eff_1,146.28754028320313,160.8456039428711,176.14078002929688,161.285,15.306,134.66,190.25,0.488,0.368,989.0,944.0,
r_eff_2,101.004697265625,101.96478271484375,102.9934295654297,101.983,1.002,100.265,103.934,0.031,0.023,1035.0,911.0,
sky_back_g,-0.0011561943590641022,-0.0004333704710006714,0.00017601773142814634,-0.0,0.001,-0.002,0.001,0.0,0.0,1007.0,976.0,
sky_back_r,-0.00035734057426452633,0.000499136745929718,0.0014564117789268494,0.001,0.001,-0.001,0.002,0.0,0.0,883.0,906.0,
sky_back_z,0.001194593161344528,0.002531822770833969,0.0036387094855308533,0.002,0.001,0.0,0.005,0.0,0.0,975.0,915.0,
theta,0.45314966201782225,0.4541630744934082,0.4551231384277344,0.454,0.001,0.452,0.456,0.0,0.0,1088.0,1023.0,
xc,329.082861328125,329.1124572753906,329.14129516601565,329.112,0.029,329.06,329.169,0.001,0.001,1158.0,895.0,
yc,304.8965051269531,304.91880798339844,304.94007202148435,304.918,0.022,304.872,304.954,0.001,0.0,994.0,983.0,
