,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.11173044979572296,0.11925039440393448,0.12989107072353362,0.12,0.009,0.106,0.136,0.0,0.0,1026.0,983.0,
flux_g,312.21773193359377,312.9524230957031,313.64476684570315,312.946,0.692,311.535,314.092,0.022,0.014,957.0,1020.0,
flux_r,443.2204272460938,455.48265075683594,477.5283630371094,458.714,15.428,437.686,487.417,0.484,0.29,1023.0,755.0,
flux_z,549.2677124023437,569.3285217285156,589.8016064453125,569.953,19.48,534.326,604.795,0.595,0.373,1068.0,912.0,
n,0.6468018436431885,0.6552563309669495,0.6630615758895874,0.655,0.008,0.641,0.668,0.0,0.0,1022.0,952.0,
r_eff,70.31129821777344,73.25271606445312,75.73097686767578,73.033,2.669,68.035,77.706,0.083,0.059,1032.0,915.0,
sky_back_g,-0.00316202312707901,0.0007232166826725006,0.004477992355823517,0.001,0.004,-0.007,0.008,0.0,0.0,865.0,1027.0,
sky_back_r,-0.005262068510055542,0.0002068057656288147,0.006259760260581969,0.0,0.006,-0.011,0.011,0.0,0.0,944.0,984.0,
sky_back_z,-0.0035993391275405883,-0.00027058273553848267,0.003108734488487243,-0.0,0.003,-0.007,0.005,0.0,0.0,1099.0,992.0,
theta,0.11767677307128906,0.14552879333496094,0.17060224533081053,0.145,0.026,0.101,0.196,0.001,0.001,1039.0,880.0,
xc,179.26001525878905,179.44010162353516,179.6471954345703,179.448,0.175,179.15,179.763,0.006,0.003,896.0,939.0,
yc,130.91044555664064,131.60443878173828,132.33367919921875,131.622,0.695,130.356,132.893,0.022,0.014,1025.0,982.0,
