,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.42603686690330506,0.4312845319509506,0.4371504127979279,0.432,0.006,0.422,0.443,0.0,0.0,1012.0,956.0,
flux_g,64.15183044433594,64.45284271240234,64.72650024414062,64.441,0.287,63.9,64.961,0.009,0.007,1002.0,944.0,
flux_r,94.58664764404297,95.41195297241211,96.6536849975586,95.562,0.952,94.089,97.277,0.03,0.021,1024.0,655.0,
flux_z,64.39518005371093,65.36668014526367,66.3390737915039,65.368,0.997,63.592,67.449,0.032,0.023,1009.0,848.0,
n,0.9171178340911865,0.9249979555606842,0.9327964162826539,0.925,0.007,0.911,0.938,0.0,0.0,1022.0,952.0,
r_eff,47.57380676269531,47.79815673828125,48.01384323120117,47.797,0.224,47.404,48.268,0.007,0.005,987.0,912.0,
sky_back_g,-0.0003996226191520691,7.126480340957642e-06,0.00041025251150131223,0.0,0.0,-0.001,0.001,0.0,0.0,874.0,912.0,
sky_back_r,-0.0006882843375205993,-2.3730099201202393e-06,0.0007585442066192627,0.0,0.001,-0.001,0.002,0.0,0.0,944.0,880.0,
sky_back_z,-0.0009368437528610229,-0.00040286779403686523,0.00016691505908966058,-0.0,0.001,-0.001,0.001,0.0,0.0,1020.0,945.0,
theta,0.8932892417907715,0.9006872177124023,0.9075960350036621,0.9,0.007,0.888,0.913,0.0,0.0,995.0,992.0,
xc,122.22976623535156,122.40350341796875,122.5833953857422,122.405,0.169,122.076,122.683,0.006,0.003,936.0,834.0,
yc,117.28939483642579,117.4218521118164,117.56857330322265,117.428,0.134,117.179,117.671,0.004,0.003,1009.0,875.0,
